,theta,acc_theta,v,acc_v
0,0.03600000000000001,0.0,4.999999999999449e-05,0.9999999891682441
1,0.054000000000000006,0.0,9.999999999998899e-05,0.9999999987230273
2,0.07200000000000001,0.0,0.00014999999999998348,0.9999999977873288
3,0.09,0.0,0.00019999999999997797,0.9999999988162022
4,0.10800000000000001,0.0,0.00024999999999997247,0.9999999998276017
5,0.126,0.0,0.00029999999999996696,0.9999999999555096
6,0.144,0.0,0.00034999999999996145,0.9999999999387361
7,0.16200000000000003,0.9999999609413626,0.00039999999999995595,0.9999999997017838
8,0.18,0.9999999999950906,0.00044999999999995044,0.9999999998670313
9,0.18000000000000016,0.9999999999966904,0.0004999999999999449,0.9999999999061748
10,0.3600000000000001,0.9999999999999998,0.0004999999999999449,0.9999999999775546
11,0.54,0.9999999999999982,0.0010000000000000009,0.9999999999622045
12,0.7200000000000002,0.9999999999999998,0.0015000000000000568,0.9999999999986702
13,0.8999999999999997,0.999999999999999,0.0020000000000000018,0.9999999999980942
14,0.9000000000000001,0.9999999999999999,0.0024999999999999467,0.9999999999987907
15,1.08,1.0,0.0030000000000000027,0.9999999999993346
16,1.26,0.9999999999999404,0.0035000000000000586,0.999999999999756
17,1.44,1.0,0.0040000000000000036,0.9999999999995641
18,1.62,0.9999999999999999,0.0044999999999999485,0.9999999999981011
19,1.7999999999999994,0.9999999999999974,0.0050000000000000044,0.9999999999981799
20,1.8000000000000003,0.9999999999999999,0.0050000000000000044,0.9999999999996181
21,2.7,0.9999999999999994,0.010000000000000009,0.9999999999998321
22,3.6000000000000005,0.9999999999999891,0.015000000000000013,0.9999999999999751
23,4.5,0.9999999999999987,0.020000000000000018,0.9999999999998959
24,5.4,0.9999999999999979,0.025000000000000022,0.9999999999999845
25,6.300000000000001,0.9999999999999999,0.030000000000000027,0.9999999999999978
26,7.200000000000001,0.9999999999999994,0.03500000000000003,0.9999999999999996
27,8.100000000000001,1.0,0.040000000000000036,0.9999999999999918
28,9.0,1.0,0.04500000000000004,0.9999999999999962
29,9.0,1.0,0.050000000000000044,0.9999999999999363
30,18.0,0.9999999999999996,0.050000000000000044,0.9999999999999898
31,27.0,1.0,0.09999999999999998,0.9999999999999993
32,36.0,1.0,0.15000000000000002,0.9999999999999999
33,45.0,0.9999999999999998,0.19999999999999996,0.9999999999999998
34,54.0,1.0,0.25,0.9999999999999998
35,63.0,1.0,0.30000000000000004,1.0
36,72.0,1.0,0.35,1.0
37,81.0,1.0,0.4,1.0
38,90.0,0.999999999959291,0.44999999999999996,1.0
39,,,0.5,1.0
