voxel_index,fiber_index,true_n_fibers,est_n_fibers,true_theta,true_phi,true_v,est_theta_matched,est_phi_matched,est_v_matched,acc,true_angular_separation,est_angular_separation,vol_frac,method,experiment
0,0.0,2.0,2.0,1.5010215,1.558496,0.5,1.5010188675770764,1.5585830272556556,0.499791337801403,0.9999999471908692,1.5707963232826045,1.5708178737184884,0.5,fod2fixel,angle
0,1.0,2.0,2.0,1.3965843,3.1415927,0.5,1.744989223530088,6.423127040580649e-05,0.5002086621985969,0.999999969495058,1.5707963232826045,1.5708178737184884,0.5,fod2fixel,angle
1,0.0,2.0,2.0,2.381016,0.5820739,0.5,2.380874545061859,0.5822933906390255,0.4998004493560292,0.9999996996680344,1.5707964190545765,1.5708811325634535,0.5,fod2fixel,angle
1,1.0,2.0,2.0,2.2423906,3.1415927,0.5,0.8991061144606225,-0.0001976080859533,0.5001995506439708,0.9999997679672497,1.5707964190545765,1.5708811325634535,0.5,fod2fixel,angle
2,0.0,2.0,2.0,1.4485965,4.6628246,0.5,1.692889779439638,1.5213862790703423,0.4999958718014707,0.9999997565689632,1.5707962281326837,1.570776403775498,0.5,fod2fixel,angle
2,1.0,2.0,2.0,1.9542427,3.1415927,0.5,1.187533901510852,0.000106053227018,0.5000041281985292,0.9999996955210813,1.5707962281326837,1.570776403775498,0.5,fod2fixel,angle
3,0.0,2.0,2.0,2.1350954,2.9783018,0.5,1.0066188997094536,-0.1633155883620438,0.5000169128663221,0.9999998934383576,1.5707961921360387,1.5705958655738017,0.5,fod2fixel,angle
3,1.0,2.0,2.0,0.5703682,3.1415927,0.5,2.571138668190436,5.3775824482612255e-05,0.4999830871336779,0.9999999425677404,1.5707961921360387,1.5705958655738017,0.5,fod2fixel,angle
4,0.0,2.0,2.0,0.67503625,4.2976646,0.5,2.4662129802881907,1.1562936443822265,0.4997567663655576,0.9999990400619384,1.570796241098852,1.5710146202907802,0.5,fod2fixel,angle
4,1.0,2.0,2.0,1.8828064,3.1415927,0.5,1.2586301250503855,-0.0002538908429202,0.5002432336344425,0.9999994204465806,1.570796241098852,1.5710146202907802,0.5,fod2fixel,angle
5,0.0,2.0,2.0,0.18431409,2.160232,0.5,0.1840172287751666,2.160859609121532,0.4999692117652108,0.99999929068102,1.5707963066850525,1.570633530517592,0.5,fod2fixel,angle
5,1.0,2.0,2.0,1.6740626,3.1415927,0.5,1.4674447917270437,4.3072878252128334e-05,0.5000307882347892,0.9999999363277574,1.5707963066850525,1.570633530517592,0.5,fod2fixel,angle
6,0.0,2.0,2.0,1.1475209,2.215089,0.5,1.1477160696418789,2.2152971778347914,0.4998804394401387,0.9999994813556098,1.570796425701182,1.571135541662829,0.5,fod2fixel,angle
6,1.0,2.0,2.0,2.4980574,3.1415927,0.5,0.6436659635180035,2.8558675118257404e-05,0.5001195605598613,0.999999878424398,1.570796425701182,1.571135541662829,0.5,fod2fixel,angle
7,0.0,2.0,2.0,1.912717,4.438357,0.5,1.2289161120716718,1.2968427238714697,0.5000730306604361,0.9999999502625564,1.5707964237407994,1.5707696471089794,0.5,fod2fixel,angle
7,1.0,2.0,2.0,0.92069113,3.1415927,0.5,2.2207345551069464,-1.7884775759774202e-05,0.4999269693395639,0.9999998034237828,1.5707964237407994,1.5707696471089794,0.5,fod2fixel,angle
8,0.0,2.0,2.0,2.230295,0.08737484,0.5,2.230323653362459,0.0873214057849521,0.5000113803993206,0.9999999817454768,1.5707961708349922,1.5706582397206996,0.5,fod2fixel,angle
8,1.0,2.0,2.0,2.4802425,3.1415927,0.5,0.6615126043262645,5.9780363386130086e-05,0.4999886196006794,0.9999998058784376,1.5707961708349922,1.5706582397206996,0.5,fod2fixel,angle
9,0.0,2.0,2.0,2.8760362,6.0146613,0.5,0.2656386316306105,2.8722034220690724,0.5000557815526383,0.9999995917050122,1.5707963356651145,1.5710905533106516,0.5,fod2fixel,angle
9,1.0,2.0,2.0,1.8272551,3.1415927,0.5,1.3146130693740607,2.4706594063598312e-05,0.4999442184473617,0.9999994645524236,1.5707963356651145,1.5710905533106516,0.5,fod2fixel,angle
10,0.0,2.0,2.0,0.3380522,1.6501061,0.5,0.338545163742583,1.649356266211451,0.4996680733274268,0.9999978655236736,1.5707963326058383,1.5706520179864294,0.5,fod2fixel,angle
10,1.0,2.0,2.0,1.598641,3.1415927,0.5,1.5428580890359482,-0.0004554860368709,0.5003319266725732,0.999998487069792,1.5707963326058383,1.5706520179864294,0.5,fod2fixel,angle
11,0.0,2.0,2.0,2.3404367,1.0653824,0.5,2.340176854184433,1.065522830405783,0.500060436134514,0.999999456117611,1.570796288676849,1.5706069328704328,0.5,fod2fixel,angle
